2021 Next Generation MCAS Achievement Results ,,,,,,,,,,,,,,,,,
District Name,District Code,Subject,M+E #,M+E %,E #,E %,M #,M %,PM #,PM %,NM #,NM %,No. of Students Included,Part. Rate %,Avg. Scaled Score,SGP,Included In SGP
Carlisle,00510000,MATH,         275,69,          75,19,         200,50,         107,27,          19,5,         401,98,     511.0,          45.8,         243
Carlisle,00510000,SCI,          99,81,          41,34,          58,48,          18,15,           5,4,         122,97,     518.9,,
Carver,00520000,ELA,         274,39,          14,2,         260,37,         340,49,          84,12,         698,97,     494.1,          33.7,         415
Carver,00520000,MATH,         155,22,           5,1,         150,22,         406,59,         129,19,         690,96,     486.2,          29.4,         409
Carver,00520000,SCI,          75,33,           6,3,          69,31,         115,51,          34,15,         224,98,     491.5,,
Central Berkshire,06350000,ELA,         294,45,          64,10,         230,35,         267,41,          97,15,         658,99,     496.5,          39.3,         409
Central Berkshire,06350000,MATH,         190,29,          19,3,         171,26,         346,53,         122,19,         658,98,     488.3,          29.1,         408
Central Berkshire,06350000,SCI,          77,37,          14,7,          63,30,         102,49,          31,15,         210,97,     493.2,,
Chelmsford,00560000,ELA,"       1,348",61,         240,11,"       1,108",50,         700,32,         170,8,"       2,218",98,     504.6,          40.2,"       1,357"
Chelmsford,00560000,MATH,         942,42,         154,7,         788,36,         999,45,         278,13,"       2,219",98,     496.5,          32.2,"       1,357"
Chelmsford,00560000,SCI,         353,53,          71,11,         282,43,         241,37,          66,10,         660,97,     501.6,,
Chelsea,00570000,ELA,         644,24,          73,3,         571,21,"       1,232",45,         833,31,"       2,709",95,     483.3,          29.6,"       1,468"
Chelsea,00570000,MATH,         324,12,          27,1,         297,11,"       1,221",45,"       1,183",43,"       2,728",96,     474.6,          20.2,"       1,495"
Chelsea,00570000,SCI,          80,13,           5,1,          75,12,         293,47,         250,40,         623,93,     477.0,,
Chesterfield-Goshen,06320000,ELA,          32,50,           4,6,          28,44,          25,39,           7,11,          64,100,     497.5,          50.4,          27
